ROHS,Designator,Manufacturer Name,Manufacturer Part Number,Quantity,Case,Description,Max Input Voltage,Max Operating Temperature,Tolerance,Value,Product Type

"","C1, C2, C3, C4, C27, C28, C30, C31","KEMET","C0402C475M9PACTU","8","0402","Multilayer Ceramic Capacitors - SMD - 6V3 4.7uF X5R 0402 20%","","","20%","4.7uF",""
"","C5, C6, C7, C14, C15, C18, C19, C20, C24, C25, C26, C29, C32, C33","AVX","04026D104KAT4A","14","0402","Capacitor - 100nF [0402-6V3] (Ceramic)","","","%10","100nF",""
"","C8, C9, C10","AVX","04026C473KAT2A","3","0402","Multilayer Ceramic Capacitors - SMD - 6.3V 47nF X7R 0402 10%","","","10%","47nF",""
"","C11, C12, C13, C21, C22, C23","AVX","04026C102MAT2A","6","0402","Capacitor - 1nF [0402] (Ceramic)","","","20%","1nF",""
"","C16, C17","KYOCERA AVX","04025A8R0CAT2A","2","0402","Capacitor - 8pF [0402] (Ceramic)","","","0.25pF","8pF",""
"Yes","D1","ROHM Semiconductor","SML-P12VTT86R","1","0402","Standard LEDs - SMD MINI-MOLD ULTRA COMPACT RED","","","","",""
"Yes","D2, D3, D4","ROHM Semiconductor","SML-P12MTT86R","3","0402","Standard LEDs - SMD MINI-MOLD ULTRA COMPACT GREEN","","","","",""
"","J2","Molex","53426-0710","1","TH","2.50mm Pitch Mini-Lock Wire-to-Board Header Right Angle Friction and Positive Lock 7 Circuits","","","","",""
"","R1, R3, R5, R7, R39, R43","Vishay","CRCW0402330RFKED","6","0402","Thick Film Resistors - SMD 1/16 W 330 Ohm 1%","","","%1","330R",""
"","R2, R4, R6, R8, R18, R19, R20, R21, R22, R23, R24, R25, R26, R27, R28, R29, R31, R32, R42","Vishay","CRCW040210K0FKED","19","0402","Thick Film Resistors - SMD 1/16 W 10 KOhm 1%","","","%1","10K",""
"","R9, R11, R13","Vishay","CRCW040264R9FKED","3","0402","Thick Film Resistors - SMD 1/16 W 64,9 Ohm 1%","","","%1","64R9",""
"","R10, R12, R14, R36, R37, R38","Vishay","CRCW0402750RFKED","6","0402","Thick Film Resistors - SMD 1/16 W 750 Ohm 1%","","","%1","750R",""
"","R15, R16, R17","Vishay","CRCW040234R8FKED","3","0402","Thick Film Resistors - SMD 1/16 W 34,8 Ohm 1%","","","%1","34R8",""
"","R30","Vishay","CRCW04020000Z0ED","1","0402","Thick Film Resistors - SMD 1/16 W 0 Ohm","","","","0R",""
"","R33, R34, R35","Vishay","CRCW08052M00JNEA","3","0805","Thick Film Resistors - SMD 1/2 W 220 KOhm 5%","","","%5","2M",""
"","R40, R45, R47","Vishay Dale","CRCW0805220KJNEAHP","3","0805","Thick Film Resistors - SMD 1/2 W 220 KOhm 5%","","","%5","220K",""
"","R41, R44, R46, R48","Vishay","CRCW040247K0FKED","4","0402","Thick Film Resistors - SMD 1/16 W 47 KOhm 1%","","","%1","47K",""
"","TR1","CUI Inc.","PDS1-S3-S3-M","1","SMD","Module DC-DC 3.3VIN 1-OUT 3.3V 0.303A 1W 5-Pin SMD Module","","","","",""
"","U1, U3","Vishay Semiconductors","TCMT4100","2","SOP-16","OptpCoupler 4CH 16 Pin (SOP16)","","","","",""
"Yes","U2","Silergy","MAX78630+PPM/D00","1","TQFN-32","Energy Measurement Processor 32-Pin TQFN EP Tube","","","","",""
"","U4","Texas Instruments","ISO7221ADR","1","SOIC-8","Dual-channel, TTL, 1/1, 1-Mbps digital isolator 8-SOIC -40 to 125","","","","",""
"","X1","Kyocera Electronic Components","CX2016DB20000D0GPSC1","1","SMD","Crystals AEC-Q200 20000kHz 8pF 2x1.6mm","","","","",""
