ROHS,Designator,Manufacturer Name,Manufacturer Part Number,Quantity,Case,Description,Max Input Voltage,Max Operating Temperature,Tolerance,Value,Product Type

"","C1, C4, C5, C6","KEMET","C0402C475M9PACTU","4","0402","Multilayer Ceramic Capacitors - SMD - 6V3 4.7uF X5R 0402 20%","","","20%","4.7uF",""
"","C2, C3, C7, C8, C9, C10, C11, C14, C17, C23, C24, C26, C27, C28, C29","AVX","04026D104KAT4A","15","0402","Capacitor - 100nF [0402-6V3] (Ceramic)","","","%10","100nF",""
"","C12, C16, C19, C22, C25, C30","AVX","04026C102MAT2A","6","0402","Capacitor - 1nF [0402] (Ceramic)","","","20%","1nF",""
"","C13, C15, C18","AVX","04026C473KAT2A","3","0402","Multilayer Ceramic Capacitors - SMD - 6.3V 47nF X7R 0402 10%","","","10%","47nF",""
"","C20, C21","KYOCERA AVX","04025A8R0CAT2A","2","0402","Capacitor - 8pF [0402] (Ceramic)","","","0.25pF","8pF",""
"Yes","D1, D2, D3, D5","ROHM Semiconductor","SML-P12MTT86R","4","0402","Standard LEDs - SMD MINI-MOLD ULTRA COMPACT GREEN","","","","",""
"Yes","D4","ROHM Semiconductor","SML-P12VTT86R","1","0402","Standard LEDs - SMD MINI-MOLD ULTRA COMPACT RED","","","","",""
"","J2","Molex","53426-0710","1","TH","2.50mm Pitch Mini-Lock Wire-to-Board Header Right Angle Friction and Positive Lock 7 Circuits","","","","",""
"","R1, R5, R7","Vishay Dale","CRCW0805220KJNEAHP","3","0805","Thick Film Resistors - SMD 1/2 W 220 KOhm 5%","","","%5","220K",""
"","R2, R13, R14, R15, R16, R17, R18, R19, R20, R21, R33, R34, R35, R37, R38","Vishay","CRCW040210K0FKED","15","0402","Thick Film Resistors - SMD 1/16 W 10 KOhm 1%","","","%1","10K",""
"","R3, R4, R6","Vishay","CRCW040247K0FKED","3","0402","Thick Film Resistors - SMD 1/16 W 47 KOhm 1%","","","%1","47K",""
"","R8, R9, R36","Vishay","CRCW0402330RFKED","3","0402","Thick Film Resistors - SMD 1/16 W 330 Ohm 1%","","","%1","330R",""
"","R10, R23, R27","Bourns","CRT0402-FZ-4R99GLF","3","0402","Thick Film Resistors - SMD 1/16 W 33 Ohm 1%","","","%1","4R99",""
"","R11, R22, R24, R26","Vishay","CRCW04020000Z0ED","4","0402","Thick Film Resistors - SMD 1/16 W 0 Ohm","","","","0R",""
"","R12, R25, R28","Vishay","CRCW0402750RFKED","3","0402","Thick Film Resistors - SMD 1/16 W 750 Ohm 1%","","","%1","750R",""
"","R29, R31, R39","Vishay","MCU0805MD2004BP500","3","0805","Thick Film Resistors - SMD 1/5 W 2 MOhm 0.1%","","","%0.1","2M",""
"","R30, R32, R40","Vishay","MCS04020D7500BE000","3","0402","Thick Film Resistors - SMD 1/16 W 750 Ohm 0.1%","","","%0.1","750R",""
"","TR1","CUI Inc.","PDS1-S3-S3-M","1","SMD","Module DC-DC 3.3VIN 1-OUT 3.3V 0.303A 1W 5-Pin SMD Module","","","","",""
"","U1","Vishay Semiconductors","TCMT4100","1","SOP-16","OptpCoupler 4CH 16 Pin (SOP16)","","","","",""
"","U2","Texas Instruments","ISO7221ADR","1","SOIC-8","Dual-channel, TTL, 1/1, 1-Mbps digital isolator 8-SOIC -40 to 125","","","","",""
"Yes","U3","Silergy","MAX78630+PPM/D00","1","TQFN-32","Energy Measurement Processor 32-Pin TQFN EP Tube","","","","",""
"","X1","Kyocera Electronic Components","CX2016DB20000D0GPSC1","1","SMD","Crystals AEC-Q200 20000kHz 8pF 2x1.6mm","","","","",""
